"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2016","Both sexes","3 years","South Dublin","Number","4400"
"Population","2016","Both sexes","3 years","Sligo","Number","931"
"Population","2016","Both sexes","3 years","Tipperary","Number","2164"
"Population","2016","Both sexes","3 years","Waterford City and County","Number","1565"
"Population","2016","Both sexes","3 years","Westmeath","Number","1317"
"Population","2016","Both sexes","3 years","Wicklow","Number","2184"
"Population","2016","Both sexes","3 years","Wexford","Number","2128"
"Population","2016","Both sexes","4 years","State","Number","70835"
"Population","2016","Both sexes","4 years","Cork City and Cork County","Number","7955"
"Population","2016","Both sexes","4 years","Clare","Number","1785"
"Population","2016","Both sexes","4 years","Cavan","Number","1228"
"Population","2016","Both sexes","4 years","Carlow","Number","872"
"Population","2016","Both sexes","4 years","Dublin City","Number","5959"
"Population","2016","Both sexes","4 years","Donegal","Number","2315"
"Population","2016","Both sexes","4 years","Dún Laoghaire-Rathdown","Number","2860"
"Population","2016","Both sexes","4 years","Fingal","Number","5488"
"Population","2016","Both sexes","4 years","Galway City","Number","948"
"Population","2016","Both sexes","4 years","Galway County","Number","2866"
"Population","2016","Both sexes","4 years","Kildare","Number","3733"
"Population","2016","Both sexes","4 years","Kilkenny","Number","1576"
"Population","2016","Both sexes","4 years","Kerry","Number","1965"
"Population","2016","Both sexes","4 years","Longford","Number","663"
"Population","2016","Both sexes","4 years","Louth","Number","2035"
"Population","2016","Both sexes","4 years","Limerick City and County","Number","2792"
"Population","2016","Both sexes","4 years","Leitrim","Number","450"
"Population","2016","Both sexes","4 years","Laois","Number","1449"
"Population","2016","Both sexes","4 years","Meath","Number","3508"
"Population","2016","Both sexes","4 years","Monaghan","Number","1005"
"Population","2016","Both sexes","4 years","Mayo","Number","1749"
"Population","2016","Both sexes","4 years","Offaly","Number","1234"
"Population","2016","Both sexes","4 years","Roscommon","Number","925"
"Population","2016","Both sexes","4 years","South Dublin","Number","4801"
"Population","2016","Both sexes","4 years","Sligo","Number","945"
"Population","2016","Both sexes","4 years","Tipperary","Number","2359"
"Population","2016","Both sexes","4 years","Waterford City and County","Number","1620"
"Population","2016","Both sexes","4 years","Westmeath","Number","1350"
"Population","2016","Both sexes","4 years","Wicklow","Number","2193"
"Population","2016","Both sexes","4 years","Wexford","Number","2207"
"Population","2016","Both sexes","5 years","State","Number","72404"
"Population","2016","Both sexes","5 years","Cork City and Cork County","Number","8299"
"Population","2016","Both sexes","5 years","Clare","Number","1678"
"Population","2016","Both sexes","5 years","Cavan","Number","1285"
"Population","2016","Both sexes","5 years","Carlow","Number","925"
"Population","2016","Both sexes","5 years","Dublin City","Number","5930"
"Population","2016","Both sexes","5 years","Donegal","Number","2492"
"Population","2016","Both sexes","5 years","Dún Laoghaire-Rathdown","Number","2914"
"Population","2016","Both sexes","5 years","Fingal","Number","5342"
"Population","2016","Both sexes","5 years","Galway City","Number","969"
"Population","2016","Both sexes","5 years","Galway County","Number","2868"
"Population","2016","Both sexes","5 years","Kildare","Number","4002"
"Population","2016","Both sexes","5 years","Kilkenny","Number","1589"
"Population","2016","Both sexes","5 years","Kerry","Number","2022"
"Population","2016","Both sexes","5 years","Longford","Number","671"
"Population","2016","Both sexes","5 years","Louth","Number","2060"
"Population","2016","Both sexes","5 years","Limerick City and County","Number","2939"
"Population","2016","Both sexes","5 years","Leitrim","Number","478"
"Population","2016","Both sexes","5 years","Laois","Number","1489"
"Population","2016","Both sexes","5 years","Meath","Number","3610"
"Population","2016","Both sexes","5 years","Monaghan","Number","968"
"Population","2016","Both sexes","5 years","Mayo","Number","1816"
"Population","2016","Both sexes","5 years","Offaly","Number","1249"
"Population","2016","Both sexes","5 years","Roscommon","Number","972"
"Population","2016","Both sexes","5 years","South Dublin","Number","4691"
"Population","2016","Both sexes","5 years","Sligo","Number","937"
"Population","2016","Both sexes","5 years","Tipperary","Number","2332"
"Population","2016","Both sexes","5 years","Waterford City and County","Number","1737"
"Population","2016","Both sexes","5 years","Westmeath","Number","1460"
"Population","2016","Both sexes","5 years","Wicklow","Number","2410"
"Population","2016","Both sexes","5 years","Wexford","Number","2270"
"Population","2016","Both sexes","6 years","State","Number","72517"
"Population","2016","Both sexes","6 years","Cork City and Cork County","Number","8290"
"Population","2016","Both sexes","6 years","Clare","Number","1857"
"Population","2016","Both sexes","6 years","Cavan","Number","1238"
"Population","2016","Both sexes","6 years","Carlow","Number","885"
"Population","2016","Both sexes","6 years","Dublin City","Number","5836"
"Population","2016","Both sexes","6 years","Donegal","Number","2518"
"Population","2016","Both sexes","6 years","Dún Laoghaire-Rathdown","Number","2824"
"Population","2016","Both sexes","6 years","Fingal","Number","5640"
"Population","2016","Both sexes","6 years","Galway City","Number","900"
"Population","2016","Both sexes","6 years","Galway County","Number","2873"
"Population","2016","Both sexes","6 years","Kildare","Number","3856"
"Population","2016","Both sexes","6 years","Kilkenny","Number","1522"
"Population","2016","Both sexes","6 years","Kerry","Number","2009"
"Population","2016","Both sexes","6 years","Longford","Number","677"
"Population","2016","Both sexes","6 years","Louth","Number","2089"
"Population","2016","Both sexes","6 years","Limerick City and County","Number","2794"
"Population","2016","Both sexes","6 years","Leitrim","Number","493"
"Population","2016","Both sexes","6 years","Laois","Number","1576"
"Population","2016","Both sexes","6 years","Meath","Number","3615"
"Population","2016","Both sexes","6 years","Monaghan","Number","1004"
"Population","2016","Both sexes","6 years","Mayo","Number","1853"
"Population","2016","Both sexes","6 years","Offaly","Number","1246"
"Population","2016","Both sexes","6 years","Roscommon","Number","962"
"Population","2016","Both sexes","6 years","South Dublin","Number","4787"
"Population","2016","Both sexes","6 years","Sligo","Number","994"
"Population","2016","Both sexes","6 years","Tipperary","Number","2445"
"Population","2016","Both sexes","6 years","Waterford City and County","Number","1705"
"Population","2016","Both sexes","6 years","Westmeath","Number","1419"
"Population","2016","Both sexes","6 years","Wicklow","Number","2368"
"Population","2016","Both sexes","6 years","Wexford","Number","2242"
"Population","2016","Both sexes","7 years","State","Number","72166"
"Population","2016","Both sexes","7 years","Cork City and Cork County","Number","8200"
"Population","2016","Both sexes","7 years","Clare","Number","1813"
"Population","2016","Both sexes","7 years","Cavan","Number","1286"
"Population","2016","Both sexes","7 years","Carlow","Number","885"
"Population","2016","Both sexes","7 years","Dublin City","Number","5713"
"Population","2016","Both sexes","7 years","Donegal","Number","2497"
"Population","2016","Both sexes","7 years","Dún Laoghaire-Rathdown","Number","2767"
"Population","2016","Both sexes","7 years","Fingal","Number","5255"
"Population","2016","Both sexes","7 years","Galway City","Number","926"
"Population","2016","Both sexes","7 years","Galway County","Number","2986"
"Population","2016","Both sexes","7 years","Kildare","Number","3791"
"Population","2016","Both sexes","7 years","Kilkenny","Number","1552"
"Population","2016","Both sexes","7 years","Kerry","Number","2032"
"Population","2016","Both sexes","7 years","Longford","Number","703"
"Population","2016","Both sexes","7 years","Louth","Number","2224"
"Population","2016","Both sexes","7 years","Limerick City and County","Number","2864"
"Population","2016","Both sexes","7 years","Leitrim","Number","470"
"Population","2016","Both sexes","7 years","Laois","Number","1460"
"Population","2016","Both sexes","7 years","Meath","Number","3648"
"Population","2016","Both sexes","7 years","Monaghan","Number","1020"
"Population","2016","Both sexes","7 years","Mayo","Number","1810"
"Population","2016","Both sexes","7 years","Offaly","Number","1299"
"Population","2016","Both sexes","7 years","Roscommon","Number","985"
"Population","2016","Both sexes","7 years","South Dublin","Number","4557"
"Population","2016","Both sexes","7 years","Sligo","Number","917"
"Population","2016","Both sexes","7 years","Tipperary","Number","2440"
"Population","2016","Both sexes","7 years","Waterford City and County","Number","1831"
"Population","2016","Both sexes","7 years","Westmeath","Number","1341"
"Population","2016","Both sexes","7 years","Wicklow","Number","2379"
"Population","2016","Both sexes","7 years","Wexford","Number","2515"
"Population","2016","Both sexes","8 years","State","Number","71524"
"Population","2016","Both sexes","8 years","Cork City and Cork County","Number","8030"
"Population","2016","Both sexes","8 years","Clare","Number","1835"
"Population","2016","Both sexes","8 years","Cavan","Number","1266"
"Population","2016","Both sexes","8 years","Carlow","Number","915"
"Population","2016","Both sexes","8 years","Dublin City","Number","5454"
"Population","2016","Both sexes","8 years","Donegal","Number","2545"
"Population","2016","Both sexes","8 years","Dún Laoghaire-Rathdown","Number","2708"
"Population","2016","Both sexes","8 years","Fingal","Number","5269"
"Population","2016","Both sexes","8 years","Galway City","Number","927"
"Population","2016","Both sexes","8 years","Galway County","Number","2973"
"Population","2016","Both sexes","8 years","Kildare","Number","3909"
"Population","2016","Both sexes","8 years","Kilkenny","Number","1479"
"Population","2016","Both sexes","8 years","Kerry","Number","2131"
